Chimpanzee Human
ENSG00000105221 0.0435129312449857 0.0275510369350366
ENSG00000105364 0.0162316791071159 0.00936798226401692
ENSG00000105618 0.0544987663415444 0.00459126394329479
ENSG00000105647 0.0353451508883269 0.0208821259110036
ENSG00000105663 0.0203629681059518 0.0388419656591279
ENSG00000105669 0.038419220865974 0.0229894132118661
ENSG00000106245 0.0834234777073015 0.0299124685126608
ENSG00000106261 0.0161103845683437 0.0124514051613135
ENSG00000107581 0.0638412332133266 0.020011308731835
ENSG00000107831 0.03544548357973 8.13435045086131e-05
ENSG00000108021 0.0296348255689536 0.00163430972736767
ENSG00000108094 0.0611497824672949 0.0334710946140242
ENSG00000108591 0.0201080140092658 0.0191077168108028
ENSG00000109265 0.00697989016496381 0.00671581677764266
ENSG00000109320 0.0385161159310652 0.0375042260320826
ENSG00000109519 0.00248051581069109 0.0460774644248195
ENSG00000110435 0.079288279857948 0.023250049789501
ENSG00000110514 0.0302953611502875 0.0130997840865735
ENSG00000110619 0.0307395655059381 0.0446087717896023
ENSG00000111540 0.0922606413385916 0.00481393633584326
ENSG00000111581 0.0626558156249687 0.00224344326560355
ENSG00000112146 0.0670804161383883 0.0129581518510966
ENSG00000112624 0.0822208634902181 0.021378122183404
ENSG00000112983 0.0613917621164251 0.0285793939674008
ENSG00000113161 0.0865581628078451 0.00870868906060218
ENSG00000113732 0.0173174860837255 0.00158933864299826
ENSG00000114098 0.0813864011657903 0.0326036214480281
ENSG00000114520 0.0483878672501827 0.0486567962341279
ENSG00000114745 0.0659239493985034 0.00713448175722398
ENSG00000114902 0.0777898257633269 0.0496653039392063
ENSG00000115163 0.0541270163803749 0.0418757993424483
ENSG00000115526 0.0707815134674842 0.00877465392141663
ENSG00000115568 0.0837574219949777 0.000595748047358069
ENSG00000116990 0.0434823981215322 0.0212424537794655
ENSG00000117399 0.0930459442798066 0.0268417619087113
ENSG00000117500 0.0197352370851565 0.040220526763421
ENSG00000118939 0.0443150620404877 0.0106678371838085
ENSG00000119431 0.0480456561041829 0.000752639953286893
ENSG00000119616 0.0841920137790557 0.00452995541258661
ENSG00000119718 0.0493204886190024 0.0413138545556606
ENSG00000120314 0.0305500022882406 0.0268670233254096
ENSG00000120942 0.0736500945423118 0.00908771187190338
ENSG00000121022 0.0708673007541909 0.00932920819565974
ENSG00000121879 0.0127981847333714 0.0310314487824015
ENSG00000122565 0.0924698075199029 0.0239162097535168
ENSG00000123131 0.0572034636676747 0.0430518002204481
ENSG00000123411 0.0960354065395186 0.00217043773328807
