Sample,Sample_ID,Lane_run1,Lane_run2,Reads_unmapped_run1,Reads_unmapped_run2,Total_unmapped,Day,Species,Reads_mapped_run1,Reads_mapped_run2,Total_mapped,Reads_mapped_post_subsample_run1,Reads_mapped_post_subsample_run2,Total_mapped_post_subsample
D2_40300,C3A,2,1,19414210,27329046,46743256,2,chimp,16400266,23039768,39440034,16400266,23039768,39440034
D2_40300_0116,C3B,4,3,12981033,15750765,28731798,2,chimp,10977723,13287746,24265469,10977723,13287746,24265469
D2_4955,C4A,2,1,11097636,13397788,24495424,2,chimp,9357131,11263275,20620406,9357131,11263275,20620406
D2_4955_0116,C4B,4,3,22178330,31364636,53542966,2,chimp,18046281,25422883,43469164,18046281,25422883,43469164
D3_20157,H1A,3,2,56271900,17303989,73575889,3,human,51853977,15940286,67794263,51853977,15940286,67794263
D3_20157_0116,H1B,5,4,4114091,23289131,27403222,3,human,3814642,22461119,26275761,3814642,22461119,26275761
D3_20961,H2,2,1,10841432,22463590,33305022,3,human,9838964,20678292,30517256,9838964,20678292,30517256
D3_21792,H3,2,1,6623493,58089982,64713475,3,human,6296566,55458883,61755449,6296566,55458883,61755449
D3_28162,H4,4,3,16486124,49928206,66414330,3,human,15947311,48337220,64284531,15947311,48337220,64284531
D3_28815,H5A,3,2,18450523,20161894,38612417,3,human,17255394,18911048,36166442,17255394,18911048,36166442
D3_28815_0116,H5B,5,4,18521973,44648090,63170063,3,human,17956508,43378074,61334582,17956508,43378074,61334582
D3_29089,H6,4,3,23096038,13706042,36802080,3,human,22341403,13171786,35513189,22341403,13171786,35513189
D3_3647,C1A,3,2,9953970,37182535,47136505,3,chimp,7537114,30368827,37905941,7537114,30368827,37905941
D3_3647_0116,C1B,5,4,8433851,45411496,53845347,3,chimp,7293159,39329331,46622490,7293159,39329331,46622490
D3_3649,C2A,3,2,15585138,24165457,39750595,3,chimp,13163553,20469511,33633064,13163553,20469511,33633064
D3_3649_0116,C2B,5,4,5538310,9256234,14794544,3,chimp,4521748,7643046,12164794,4521748,7643046,12164794
D3_40300,C3A,2,1,17494109,14412873,31906982,3,chimp,14776726,12160369,26937095,14776726,12160369,26937095
D3_40300_0116,C3B,4,3,18014482,20411045,38425527,3,chimp,15363675,18843983,34207658,15363675,18843983,34207658
D3_4955,C4A,2,1,22586572,16573805,39160377,3,chimp,16876817,12680860,29557677,16876817,12680860,29557677
D3_4955_0116,C4B,4,3,16275284,15847950,32123234,3,chimp,13577642,12847924,26425566,13577642,12847924,26425566
