Gene,Motif Assignment Number
ENSG00000109171,1
ENSG00000109180,1
ENSG00000109189,1
ENSG00000109220,1
ENSG00000109265,1
ENSG00000109270,1
ENSG00000109332,1
ENSG00000109390,1
ENSG00000109572,1
ENSG00000109736,1
ENSG00000109861,1
ENSG00000109911,1
ENSG00000109917,1
ENSG00000109919,1
ENSG00000109920,1
ENSG00000109929,1
ENSG00000110013,1
ENSG00000110025,1
ENSG00000110046,1
ENSG00000110048,1
ENSG00000110057,1
ENSG00000110066,1
ENSG00000110074,1
ENSG00000110075,1
ENSG00000110108,1
ENSG00000110171,1
ENSG00000110274,1
ENSG00000110315,1
ENSG00000110321,1
ENSG00000110328,1
ENSG00000110344,1
ENSG00000110367,1
ENSG00000110395,1
ENSG00000110435,1
ENSG00000110455,1
ENSG00000110497,1
ENSG00000110514,1
ENSG00000110536,1
ENSG00000110583,1
ENSG00000110651,1
ENSG00000110660,1
ENSG00000110713,1
ENSG00000110717,1
ENSG00000110756,1
ENSG00000110811,1
ENSG00000110851,1
ENSG00000110871,1
ENSG00000110880,1
ENSG00000110888,1
ENSG00000110911,1
ENSG00000110917,1
ENSG00000110944,1
ENSG00000110955,1
ENSG00000111011,1
ENSG00000111215,1
ENSG00000111229,1
ENSG00000111237,1
ENSG00000111325,1
ENSG00000111364,1
ENSG00000111371,1
ENSG00000111412,1
ENSG00000111481,1
ENSG00000111596,1
ENSG00000111642,1
ENSG00000111647,1
ENSG00000111664,1
ENSG00000111667,1
ENSG00000111669,1
ENSG00000111670,1
ENSG00000111707,1
ENSG00000111711,1
ENSG00000111727,1
ENSG00000111737,1
ENSG00000111786,1
ENSG00000111790,1
ENSG00000111817,1
ENSG00000111850,1
ENSG00000111961,1
ENSG00000112033,1
ENSG00000112039,1
ENSG00000112062,1
ENSG00000112078,1
ENSG00000112081,1
ENSG00000112144,1
ENSG00000112146,1
ENSG00000112167,1
ENSG00000112200,1
ENSG00000112234,1
ENSG00000112237,1
ENSG00000112249,1
ENSG00000112282,1
ENSG00000112293,1
ENSG00000112294,1
ENSG00000112306,1
ENSG00000112335,1
ENSG00000112339,1
ENSG00000112357,1
ENSG00000112514,1
ENSG00000112531,1
ENSG00000112559,1
ENSG00000112592,1
ENSG00000112624,1
ENSG00000112651,1
ENSG00000112658,1
ENSG00000112667,1
ENSG00000112679,1
ENSG00000112695,1
ENSG00000112699,1
ENSG00000112701,1
ENSG00000112787,1
ENSG00000112852,1
ENSG00000112855,1
ENSG00000112874,1
ENSG00000112877,1
ENSG00000112983,1
ENSG00000113068,1
ENSG00000113108,1
ENSG00000113141,1
ENSG00000113161,1
ENSG00000113194,1
ENSG00000113205,1
ENSG00000113209,1
ENSG00000113248,1
ENSG00000113273,1
ENSG00000113282,1
ENSG00000113300,1
ENSG00000113384,1
ENSG00000113448,1
ENSG00000113522,1
ENSG00000113552,1
