Chimpanzee Human
ENSG00000008283 0.087676392195271 0.535886222295973
ENSG00000008294 0.748219634381133 0.101069139227454
ENSG00000008311 0.884348933009334 0.199903535972586
ENSG00000008323 0.290676637362966 0.536488496766744
ENSG00000008394 0.196861029622107 0.145673868718096
ENSG00000008405 0.867580989036352 0.437740596620359
ENSG00000008710 0.115688686487888 0.346248191035494
ENSG00000008838 0.138881034021841 0.629168874856562
ENSG00000008853 0.471212486144187 0.265239283137588
ENSG00000009307 0.0794330943649891 0.214040292494821
ENSG00000009724 0.358659442476188 0.816297730202241
ENSG00000009780 0.372945138723136 0.243395569728398
ENSG00000009790 0.239497217718989 0.509349021366378
ENSG00000009844 0.132277854481521 0.790336192125295
ENSG00000010017 0.498296193181512 0.60783168792654
ENSG00000010072 0.918712637821437 0.465456571847698
ENSG00000010165 0.644633081809101 0.445528458925382
ENSG00000010219 0.643010468858556 0.0533969965694455
ENSG00000010244 0.57881966646062 0.128106965313622
ENSG00000010270 0.937377866052954 0.174377785569559
ENSG00000010278 0.74146500873983 0.208785155149555
ENSG00000010292 0.240825021016285 0.126379009237957
ENSG00000010295 0.296202295555313 0.192566064488818
ENSG00000010318 0.603742091434324 0.256338519675311
ENSG00000010322 0.223213937147536 0.0601982622207667
ENSG00000010361 0.390178743343212 0.474730351279359
ENSG00000010404 0.993170068954494 0.125581739062214
ENSG00000010539 0.531266370797349 0.064217689669993
ENSG00000010803 0.171069721824385 0.255460455945911
ENSG00000010818 0.828454046605996 0.402875719279282
ENSG00000011007 0.49897808775947 0.152516494678185
ENSG00000011009 0.0547864008128558 0.283525787196141
ENSG00000011021 0.336779002516558 0.10548116549706
ENSG00000011028 0.734524696277762 0.835697047820009
ENSG00000011052 0.171963559648731 0.396191117294864
ENSG00000011105 0.482000421032588 0.414859583610194
ENSG00000011132 0.167322121020087 0.170240811010576
ENSG00000011143 0.642506273702744 0.373375651010023
ENSG00000011198 0.524408755322888 0.501309695653162
