"V1" "V1" "V1" "V1" "V1"
"136" "CUL3" "FBXL15" "RELT" "EIF2AK4" "APPL2"
"137" "ZZZ3" "CCNY" "SZRD1" "DUT" "RAC1"
"138" "RPL26L1" "TBC1D12" "CYFIP2" "FGF13" "TTC5"
"139" "FLT4" "PSMD3" "PCGF2" "APOE" "SRSF1"
"140" "MFAP3" "RECQL5" "SOAT1" "UNC13A" "DNAJC1"
"141" "EDC4" "AKAP10" "PKP2" "COL5A1" "ODF2"
"142" "FAM65A" "C17orf75" "ATP2B4" "HABP4" "FAM129B"
"143" "RAI14" "CYTH1" "RIOK2" "GFPT2" "TEX10"
"144" "RTN4R" "VAT1" "YIPF1" "KHDRBS3" "CTSV"
"145" "INPP4A" "MANBA" "DNAJC25" "SERPINF1" "KLC4"
"146" "THAP3" "TRIM2" "PTPRU" "EEFSEC" "UQCC2"
"147" "TDP1" "SNX25" "SNRNP40" "ARHGEF11" "NARS2"
"148" "AIFM2" "UFSP2" "COL11A1" "TOE1" "HADHB"
"149" "TRIT1" "ZNF259" "LZTS1" "PEMT" "EMILIN1"
"150" "CNTLN" "SLC15A3" "NCKAP1" "RNF122" "DTNB"
"151" "HSPA5" "PSMD9" "MRPS35" "UNC79" "ABI2"
"152" "DSG2" "CORO1C" "POLD1" "TTC9" "HERC3"
"153" "CTPS2" "CAPRIN2" "SPHK2" "TIMM17A" "BBS7"
"154" "ATP6V1H" "MLEC" "ISOC2" "FAM127A" "PPA2"
"155" "DTNBP1" "TENC1" "MTMR1" "APC" "RNF185"
"156" "USP28" "FOXM1" "ADCK1" "FBXO21" "DUSP6"
"157" "TSPAN17" "MANSC1" "HIPK2" "GDF11" "LMBR1L"
"158" "VPS13D" "SERINC1" "DDX20" "PCNXL2" "C14orf79"
"159" "FAM120A" "BAG2" "FAR2" "NPL" "ZNF710"
"160" "H6PD" "RAB23" "SBNO2" "SERPINE2" "CIRH1A"
"161" "ARID1B" "SMAP1" "AP3D1" "TNS3" "SCRN2"
"162" "ARHGEF5" "KIAA1244" "ZNF76" "ABHD17C" "PTRH2"
"163" "LIMA1" "PHF1" "WDR3" "CDK5RAP2" "RPRD1A"
"164" "LAMC3" "HMGCR" "KARS" "SLC31A2" "LEPREL4"
"165" "MAPK9" "CNOT6" "ZC3H15" "ARHGAP29" "ECM1"
"166" "BCAR1" "ERGIC1" "TMEM206" "AOX1" "C1orf43"
"167" "FAM160A2" "NIT2" "SEC61A2" "NAB1" "TTC13"
"168" "HOMER3" "BCHE" "ELOVL1" "FGF2" "DIS3L2"
"169" "MPHOSPH9" "WNT5A" "ISOC1" "CCNG2" "TCTA"
"170" "SIKE1" "USP4" "MTFR1" "CASP6" "MARCH6"
