"V1" "V1" "V1" "V1" "V1"
"909" "CCDC6" NA "CRISPLD1" NA NA
"910" "ZMIZ1" NA "RDH10" NA NA
"911" "TSPAN14" NA "TRIM25" NA NA
"912" "GIT1" NA "SCPEP1" NA NA
"913" "AATF" NA "SLC35B1" NA NA
"914" "CWC25" NA "TRIM6" NA NA
"915" "FBXL20" NA "PAPD5" NA NA
"916" "CASC3" NA "ADCY7" NA NA
"917" "RNF43" NA "CEP89" NA NA
"918" "SEPT4" NA "ZNF211" NA NA
"919" "MTMR4" NA "TRMT1L" NA NA
"920" "TRIM37" NA "SEC22A" NA NA
"921" "DHX40" NA "RNF115" NA NA
"922" "KPNB1" NA "LIAS" NA NA
"923" "GOSR2" NA "LRIF1" NA NA
"924" "RPS6KB1" NA "CLCC1" NA NA
"925" "MED13" NA "ZRANB3" NA NA
"926" "SLC25A11" NA "ACVR2A" NA NA
"927" "BLMH" NA "RPL21" NA NA
"928" "FTSJ3" NA "MTIF3" NA NA
"929" "B9D1" NA "GTF3A" NA NA
"930" "KAT2A" NA "OCRL" NA NA
"931" "RAB5C" NA "ZC3H7A" NA NA
"932" "NAGLU" NA "ZNF205" NA NA
"933" "MLX" NA "RPL5" NA NA
"934" "EZH1" NA "ODF2L" NA NA
"935" "COL1A1" NA "PQLC1" NA NA
"936" "MRPL27" NA "SEPT7" NA NA
"937" "LUC7L3" NA "CBX3" NA NA
"938" "DUSP3" NA "FAM126A" NA NA
"939" "RANGRF" NA "NT5C3A" NA NA
"940" "MAP2K6" NA "GLIPR2" NA NA
"941" "NAT9" NA "RECK" NA NA
"942" "TNFAIP1" NA "ACO1" NA NA
"943" "IFT20" NA "CISD1" NA NA
"944" "CDR2L" NA "SLC25A16" NA NA
"945" "UNC119" NA "ZWINT" NA NA
"946" "PHF12" NA "RNF11" NA NA
"947" "TMEM33" NA "ITPR2" NA NA
"948" "OCIAD1" NA "PRDX4" NA NA
"949" "DCUN1D4" NA "GIPC1" NA NA
"950" "CHIC2" NA "NLN" NA NA
"951" "LAMTOR3" NA "OPTN" NA NA
"952" "ELF2" NA "TSFM" NA NA
"953" "NDUFC1" NA "PFDN5" NA NA
"954" "ZNF330" NA "METTL21B" NA NA
"955" "GAB1" NA "ATPAF1" NA NA
"956" "KLHL2" NA "NDUFAF4" NA NA
"957" "WFS1" NA "USP45" NA NA
"958" "CLCN3" NA "PLP1" NA NA
"959" "AADAT" NA "FAM199X" NA NA
"960" "DHX15" NA "METTL8" NA NA
"961" "FBXW7" NA "RAP2C" NA NA
"962" "MFSD10" NA "PFKFB2" NA NA
"963" "RAPGEF2" NA "RAB38" NA NA
"964" "KLF3" NA "DNPEP" NA NA
"965" "NCAPG" NA "PREX1" NA NA
"966" "CCDC34" NA "VAPB" NA NA
"967" "FNBP4" NA "SRSF6" NA NA
"968" "TECTA" NA "PPP4R1L" NA NA
"969" "SIAE" NA "RNF114" NA NA
"970" "SNX15" NA "DDX27" NA NA
"971" "ATG2A" NA "MTRR" NA NA
"972" "OSBP" NA "STAMBP" NA NA
"973" "SUV420H1" NA "SNRNP27" NA NA
"974" "FOXRED1" NA "USP22" NA NA
"975" "PPP6R3" NA "HIF3A" NA NA
"976" "CCND1" NA "ZNF576" NA NA
"977" "TRIM3" NA "GRM4" NA NA
"978" "CHORDC1" NA "MRS2" NA NA
"979" "CEP164" NA "SERPINB6" NA NA
"980" "BIRC2" NA "NQO2" NA NA
"981" "UBE4A" NA "OARD1" NA NA
"982" "DDX6" NA "AARS2" NA NA
"983" "CBL" NA "ZNF391" NA NA
"984" "PVRL1" NA "RPS10" NA NA
"985" "COMMD9" NA "MOCS1" NA NA
"986" "MDK" NA "KLHDC3" NA NA
"987" "AMBRA1" NA "CDKN1A" NA NA
"988" "SLC35F2" NA "GLO1" NA NA
"989" "C11orf58" NA "SLC35B3" NA NA
"990" "AIP" NA "DEK" NA NA
"991" "NUP98" NA "MYRF" NA NA
"992" "NDUFS8" NA "EMC3" NA NA
"993" "TCIRG1" NA "GOT2" NA NA
"994" "HPS5" NA "TMTC4" NA NA
"995" "PTPN5" NA "TM9SF2" NA NA
"996" "PPFIBP1" NA "IRF1" NA NA
"997" "PRPF40B" NA "RNF113A" NA NA
"998" "PRDM4" NA "SEPT6" NA NA
"999" "COQ5" NA "MRPS7" NA NA
"1000" "SLC11A2" NA "MSTO1" NA NA
"1001" "CSRNP2" NA "TTF1" NA NA
"1002" "IL23A" NA "GTF3C4" NA NA
"1003" "BCL7A" NA "CCDC93" NA NA
"1004" "GLI1" NA "SLC25A23" NA NA
"1005" "LTA4H" NA "RPL23" NA NA
"1006" "ELK3" NA "" NA NA
"1007" "PRR4" NA "ATG4C" NA NA
"1008" "PARP11" NA "TRIP10" NA NA
"1009" "ARPC3" NA "GPR108" NA NA
"1010" "VPS29" NA "SNRPD2" NA NA
"1011" "RAD51AP1" NA "TMX4" NA NA
"1012" "SH2B3" NA "AP5S1" NA NA
"1013" "C12orf49" NA "SNRPB2" NA NA
"1014" "RFC5" NA "MGME1" NA NA
"1015" "COPZ1" NA "MCM8" NA NA
"1016" "RAB5B" NA "TMEM74B" NA NA
"1017" "TIMELESS" NA "MRPS26" NA NA
"1018" "CPSF6" NA "NCLN" NA NA
"1019" "COPS7A" NA "RALY" NA NA
"1020" "ING4" NA "ERGIC3" NA NA
"1021" "USP5" NA "CEP250" NA NA
"1022" "TPI1" NA "UROD" NA NA
"1023" "C12orf57" NA "ST3GAL3" NA NA
"1024" "PTPN6" NA "HECTD3" NA NA
"1025" "NT5DC3" NA "XRCC3" NA NA
"1026" "C2CD5" NA "CAPNS1" NA NA
"1027" "RAB35" NA "UBA2" NA NA
"1028" "RIC8B" NA "BCL2L12" NA NA
"1029" "SRSF9" NA "PRMT1" NA NA
"1030" "FGFR1OP2" NA "ASL" NA NA
"1031" "TDP2" NA "KTN1" NA NA
"1032" "DSE" NA "DLGAP5" NA NA
"1033" "RWDD1" NA "L3HYPDH" NA NA
"1034" "SMIM8" NA "TRMT5" NA NA
"1035" "MCM9" NA "AIF1L" NA NA
"1036" "RNGTT" NA "MAP2K2" NA NA
"1037" "MAN1A1" NA "HNRNPH2" NA NA
"1038" "HDDC2" NA "ARMCX1" NA NA
"1039" "SASH1" NA "CPSF3L" NA NA
"1040" "FBXO5" NA "IPPK" NA NA
"1041" "PPARD" NA "COX7C" NA NA
"1042" "MAPK14" NA "ABHD8" NA NA
"1043" "KCTD20" NA "PIN1" NA NA
"1044" "STK38" NA "HP1BP3" NA NA
"1045" "SRSF3" NA "WDR24" NA NA
"1046" "MCM3" NA "CHTF18" NA NA
"1047" "ICK" NA "METTL25" NA NA
"1048" "FBXO9" NA "EMC6" NA NA
"1049" "MDN1" NA "METTL16" NA NA
"1050" "ZNF451" NA "TUBA4A" NA NA
"1051" "GPR63" NA "PTPN12" NA NA
"1052" "CCNC" NA "STYXL1" NA NA
"1053" "E2F3" NA "PAICS" NA NA
"1054" "ASCC3" NA "DGCR8" NA NA
"1055" "MED23" NA "SPECC1" NA NA
"1056" "GPLD1" NA "PRKRIP1" NA NA
"1057" "AIM1" NA "STRIP2" NA NA
"1058" "C6orf62" NA "LRRC4" NA NA
"1059" "GMNN" NA "SMO" NA NA
"1060" "SNX3" NA "OSGEPL1" NA NA
"1061" "HBS1L" NA "PSMG2" NA NA
"1062" "PEX7" NA "IVD" NA NA
"1063" "ZBTB24" NA "CLN6" NA NA
"1064" "HECA" NA "ARPP19" NA NA
"1065" "PHACTR2" NA "CALML4" NA NA
"1066" "SLC39A7" NA "LOXL1" NA NA
"1067" "QKI" NA "ANAPC13" NA NA
"1068" "PDE10A" NA "SUMF2" NA NA
"1069" "MDFI" NA "E2F8" NA NA
"1070" "MRPL2" NA "DCTD" NA NA
"1071" "SRF" NA "PLD2" NA NA
"1072" "CUL9" NA "TXNDC17" NA NA
"1073" "COX7A2" NA "KRI1" NA NA
"1074" "GMDS" NA "CDKN2D" NA NA
"1075" "SENP6" NA "MTUS1" NA NA
"1076" "PRPF4B" NA "AJUBA" NA NA
"1077" "SLC29A1" NA "DTD2" NA NA
"1078" "FBRSL1" NA "ASH2L" NA NA
"1079" "NUDT12" NA "TTI2" NA NA
"1080" "SEMA5A" NA "ELOF1" NA NA
"1081" "PAPD7" NA "PRKCSH" NA NA
"1082" "HMGCS1" NA "ZSCAN10" NA NA
"1083" "DAP" NA "GADD45G" NA NA
"1084" "BRD8" NA "LRCH2" NA NA
"1085" "KIF20A" NA "SAFB2" NA NA
"1086" "MRPS30" NA "PGLS" NA NA
"1087" "SPARC" NA "LSM7" NA NA
"1088" "FAF2" NA "TULP4" NA NA
"1089" "PCDHB3" NA "RSPH3" NA NA
"1090" "PCDHB5" NA "ACTN4" NA NA
"1091" "CLINT1" NA "STK33" NA NA
"1092" "THBS4" NA "NDUFA10" NA NA
"1093" "TTC1" NA "LSM4" NA NA
"1094" "MSH3" NA "SAMD10" NA NA
"1095" "LMNB1" NA "ATXN10" NA NA
"1096" "GOLPH3" NA "TUBGCP2" NA NA
"1097" "TARS" NA "PAK4" NA NA
"1098" "RAD1" NA "TAF4" NA NA
"1099" "SLC12A7" NA "CHMP2A" NA NA
"1100" "NUP155" NA "TRIM28" NA NA
"1101" "C5orf15" NA "EIF2S3" NA NA
"1102" "PPWD1" NA "LRRC47" NA NA
"1103" "LIFR" NA "SMPDL3B" NA NA
"1104" "TRIM23" NA "MED18" NA NA
"1105" "TRAPPC13" NA "THEMIS2" NA NA
"1106" "SEC24A" NA "ZNF331" NA NA
"1107" "TXNDC15" NA "RBM39" NA NA
"1108" "WWC1" NA "ZNF227" NA NA
"1109" "TCERG1" NA "CHMP1A" NA NA
"1110" "SMAD5" NA "SH3BGRL" NA NA
"1111" "HMGXB3" NA "NFATC1" NA NA
"1112" "ATP6V0E1" NA "LRRC4B" NA NA
"1113" "CPEB4" NA "RAMP2" NA NA
"1114" "SMC4" NA "ACAP3" NA NA
"1115" "" NA "THOC6" NA NA
"1116" "ARL6" NA "NPHP4" NA NA
"1117" "OGG1" NA "IL13RA1" NA NA
"1118" "KPNA1" NA "ZCCHC9" NA NA
"1119" "UBE3A" NA "RBM8A" NA NA
"1120" "CEP70" NA "PDHA1" NA NA
"1121" "RBP1" NA "MCCC2" NA NA
"1122" "PDCD10" NA "ZSCAN5A" NA NA
"1123" "PFKFB4" NA "SNRPA1" NA NA
"1124" "COL7A1" NA "THAP1" NA NA
"1125" "PRKAR2A" NA "ACTR10" NA NA
"1126" "HES1" NA "GCH1" NA NA
"1127" "ECT2" NA "RFX1" NA NA
"1128" "NPRL2" NA "CC2D1A" NA NA
"1129" "CYB561D2" NA "SPATA6" NA NA
"1130" "C3orf14" NA "NUP210" NA NA
"1131" "CBLB" NA "ENOSF1" NA NA
"1132" "BBX" NA "TRIM5" NA NA
"1133" "SNX4" NA "CNGA4" NA NA
"1134" "C3orf52" NA "RRP8" NA NA
"1135" "PLXNA1" NA "PTCD3" NA NA
"1136" "KLHL18" NA "IMMT" NA NA
"1137" "SCAP" NA "SCLY" NA NA
"1138" "MRPL3" NA "RAN" NA NA
"1139" "CISH" NA "RAP1GAP2" NA NA
"1140" "MAPKAPK3" NA "TMEM128" NA NA
"1141" "ACVR2B" NA "GRSF1" NA NA
"1142" "GORASP1" NA "H3F3B" NA NA
"1143" "ABHD14A-ACY1" NA "EIF5A" NA NA
"1144" "SSR3" NA "MATN2" NA NA
"1145" "TNNC1" NA "PCBD2" NA NA
"1146" "NKTR" NA "TERF2" NA NA
"1147" "FOXP1" NA "DAP3" NA NA
"1148" "SPCS1" NA "DPH2" NA NA
"1149" "SLC4A3" NA "CTNNBL1" NA NA
"1150" "INO80D" NA "SERINC3" NA NA
"1151" "DGUOK" NA "DCTN4" NA NA
"1152" "MOB1A" NA "ZMYM5" NA NA
"1153" "RTKN" NA "WASF3" NA NA
"1154" "PIKFYVE" NA "SCO1" NA NA
"1155" "ACTR3" NA "MPRIP" NA NA
"1156" "DNAJC27" NA "PIK3C2B" NA NA
"1157" "MPV17" NA "DCLK1" NA NA
"1158" "GTF3C2" NA "SPG20" NA NA
"1159" "PSMD14" NA "TRPC4" NA NA
"1160" "SPTBN1" NA "FAM104A" NA NA
"1161" "AUP1" NA "SLC39A11" NA NA
"1162" "LOXL3" NA "SRRM1" NA NA
"1163" "DOK1" NA "PDE6B" NA NA
"1164" "POLE4" NA "CSNK1G2" NA NA
"1165" "MRPL19" NA "WDR74" NA NA
"1166" "LANCL1" NA "FOPNL" NA NA
"1167" "PECR" NA "MED10" NA NA
"1168" "IGFBP5" NA "FAM83F" NA NA
"1169" "USP34" NA "AGAP3" NA NA
"1170" "EFHD1" NA "ZNF767" NA NA
"1171" "EHBP1" NA "NTS" NA NA
"1172" "COQ10B" NA "C12orf29" NA NA
"1173" "SF3B1" NA "LARS" NA NA
"1174" "CHST10" NA "SPINK5" NA NA
"1175" "KDM3A" NA "IMPA1" NA NA
"1176" "CNPPD1" NA "RRAS2" NA NA
"1177" "TAF1B" NA "DPF2" NA NA
"1178" "BIRC6" NA "C14orf1" NA NA
"1179" "NOL10" NA "C14orf159" NA NA
"1180" "GORASP2" NA "COX16" NA NA
"1181" "PRKD3" NA "MED6" NA NA
"1182" "DCAF17" NA "CAMK1" NA NA
"1183" "QPCT" NA "THUMPD3" NA NA
"1184" "RAB3GAP1" NA "VHL" NA NA
"1185" "SLC25A12" NA "LAMTOR5" NA NA
"1186" "DARS" NA "AP4B1" NA NA
"1187" "SRSF7" NA "NAPG" NA NA
"1188" "SDC1" NA "SPIRE1" NA NA
"1189" "SLC1A4" NA "PPHLN1" NA NA
"1190" "SOS1" NA "SLC38A2" NA NA
"1191" "ORC2" NA "IAH1" NA NA
"1192" "COX7A2L" NA "LDHA" NA NA
"1193" "ORC4" NA "IL6ST" NA NA
"1194" "ATF2" NA "CDC73" NA NA
"1195" "AAK1" NA "KIAA1468" NA NA
"1196" "TRAK2" NA "CABLES1" NA NA
"1197" "SUMO1" NA "ACP2" NA NA
"1198" "NFE2L2" NA "RBMX2" NA NA
"1199" "ALMS1" NA "PHC2" NA NA
"1200" "BCL9" NA "BTF3L4" NA NA
"1201" "DNAJC16" NA "PRPF38A" NA NA
"1202" "MARK1" NA "FADS2" NA NA
"1203" "SCP2" NA "TPP2" NA NA
"1204" "CEP104" NA "CARS2" NA NA
"1205" "FAM20B" NA "TMED7" NA NA
"1206" "LRRC42" NA "WDR36" NA NA
"1207" "STXBP3" NA "C9orf40" NA NA
"1208" "AMPD2" NA "AGTPBP1" NA NA
"1209" "MECR" NA "GOLM1" NA NA
"1210" "EDEM3" NA "PSAT1" NA NA
"1211" "RAP1A" NA "USP30" NA NA
"1212" "CAPZA1" NA "RNFT2" NA NA
"1213" "RNF19B" NA "P2RX4" NA NA
"1214" "SCAMP3" NA "PNPLA8" NA NA
"1215" "TRIM62" NA "HILPDA" NA NA
"1216" "ASH1L" NA "MDFIC" NA NA
"1217" "GON4L" NA "KIAA1009" NA NA
"1218" "ARHGEF2" NA "EPHA7" NA NA
"1219" "LAMTOR2" NA "AKIRIN2" NA NA
"1220" "MEF2D" NA "ORC3" NA NA
"1221" "DNAJC6" NA "NAT10" NA NA
"1222" "IVNS1ABP" NA "ZC3H10" NA NA
"1223" "MFN2" NA "HNRNPA1" NA NA
"1224" "SMG7" NA "ACVR1B" NA NA
"1225" "GADD45A" NA "OS9" NA NA
"1226" "PRDM2" NA "PRADC1" NA NA
"1227" "TROVE2" NA "SEMA4F" NA NA
"1228" "UCHL5" NA "KCNMB4" NA NA
"1229" "SRSF11" NA "MPHOSPH6" NA NA
"1230" "CRYZ" NA "EGLN1" NA NA
"1231" "PHTF1" NA "DHX9" NA NA
"1232" "KIF21B" NA "FAM129A" NA NA
"1233" "OSCP1" NA "RC3H1" NA NA
"1234" "GNPAT" NA "ITM2C" NA NA
"1235" "C1orf109" NA "TMBIM1" NA NA
"1236" "MTR" NA "CYP27A1" NA NA
"1237" "SIPA1L2" NA "CAB39" NA NA
"1238" "RLF" NA "ISCU" NA NA
"1239" "ZNF684" NA "PWP1" NA NA
"1240" "AKT3" NA "KIAA1033" NA NA
"1241" "ST6GALNAC5" NA "CKAP2" NA NA
"1242" "LPHN2" NA "TBC1D4" NA NA
"1243" "RPF1" NA "SUCLA2" NA NA
"1244" "KDM5B" NA "RCBTB1" NA NA
"1245" "UAP1" NA "PHF11" NA NA
"1246" "SSX2IP" NA "LMO7" NA NA
"1247" "ZNHIT6" NA "RCBTB2" NA NA
"1248" "RBBP5" NA "NUPL2" NA NA
"1249" "KIF17" NA "ZDHHC4" NA NA
"1250" "ECE1" NA "DDX56" NA NA
"1251" "LEPRE1" NA "HUS1" NA NA
"1252" "ARTN" NA "CCM2" NA NA
"1253" "IPO13" NA "RSAD1" NA NA
"1254" "ERI3" NA "TACO1" NA NA
"1255" "PRDX1" NA "LIMD2" NA NA
"1256" "PIK3R3" NA "KAT7" NA NA
"1257" "PRRC2C" NA "MRPL47" NA NA
"1258" "RCAN3" NA "MARCH7" NA NA
"1259" "C1orf63" NA "VPS45" NA NA
"1260" "STMN1" NA "UGGT1" NA NA
"1261" "DHDDS" NA "CDK9" NA NA
"1262" "NENF" NA "TXN" NA NA
"1263" "ARID1A" NA "KIAA0368" NA NA
"1264" "RPA2" NA "TOR1B" NA NA
"1265" "STX12" NA "C9orf78" NA NA
"1266" "CD3EAP" NA "ST6GALNAC4" NA NA
"1267" "MESDC2" NA "SLC2A8" NA NA
"1268" "STAG1" NA "PRPF4" NA NA
"1269" "KMT2A" NA "FPGS" NA NA
"1270" "CAMSAP2" NA "USP20" NA NA
"1271" "FASTKD2" NA "ATP6V1G1" NA NA
"1272" "B4GALT6" NA "DPM2" NA NA
"1273" "CA14" NA "C9orf156" NA NA
"1274" "ELOVL4" NA "GOLGA1" NA NA
"1275" "CASP8AP2" NA "XPA" NA NA
"1276" "UBE3D" NA "PDCL" NA NA
"1277" "FBXO30" NA "RPL35" NA NA
"1278" "AKAP7" NA "IL11RA" NA NA
"1279" "CTGF" NA "APTX" NA NA
"1280" "TMEM5" NA "DNAJB5" NA NA
"1281" "VAMP8" NA "ARHGEF39" NA NA
"1282" "DCLRE1B" NA "RPS6" NA NA
"1283" "PKD2" NA "CNPY3" NA NA
"1284" "ABCG2" NA "ZSCAN9" NA NA
"1285" "SPP1" NA "TMEM14B" NA NA
"1286" "MFSD1" NA "TMEM63B" NA NA
"1287" "PPL" NA "TJAP1" NA NA
"1288" "UBN1" NA "TUBB2A" NA NA
"1289" "KLF12" NA "TUBB2B" NA NA
"1290" "UCHL3" NA "NRM" NA NA
"1291" "HS1BP3" NA "TAF8" NA NA
"1292" "GTF3C3" NA "ARRB1" NA NA
"1293" "UBE2B" NA "ANKRD42" NA NA
"1294" "TJP2" NA "PRCP" NA NA
"1295" "C1orf198" NA "GGH" NA NA
"1296" "PTBP3" NA "BUD13" NA NA
"1297" "CTNNAL1" NA "SLC37A4" NA NA
"1298" "WDR34" NA "FXYD6" NA NA
"1299" "RAB14" NA "ALKBH8" NA NA
"1300" "PPP6C" NA "NUSAP1" NA NA
"1301" "HDHD3" NA "KIF23" NA NA
"1302" "RBM18" NA "CASC5" NA NA
"1303" "INVS" NA "HAUS2" NA NA
"1304" "DENND1A" NA "RPLP1" NA NA
"1305" "KDSR" NA "TUBGCP4" NA NA
"1306" "C19orf25" NA "TMEM62" NA NA
"1307" "YLPM1" NA "SEMA6D" NA NA
"1308" "ACYP1" NA "BCAR3" NA NA
"1309" "IRF2BPL" NA "TTLL7" NA NA
"1310" "RBM25" NA "DBT" NA NA
"1311" "KLHL29" NA "RTCA" NA NA
"1312" "FKBP1B" NA "ADCY3" NA NA
"1313" "YPEL5" NA "PPM1B" NA NA
"1314" "FAM98A" NA "PNPT1" NA NA
"1315" "AFTPH" NA "ACTR2" NA NA
"1316" "FAM178A" NA "ATRAID" NA NA
"1317" "CUTC" NA "ACTR1A" NA NA
"1318" "MXI1" NA "ATAD1" NA NA
"1319" "GNA13" NA "PLCE1" NA NA
"1320" "KANSL1" NA "ANXA7" NA NA
"1321" "PANK3" NA "RPS24" NA NA
"1322" "RCL1" NA "ATIC" NA NA
"1323" "CAAP1" NA "BARD1" NA NA
"1324" "MTHFD1L" NA "METTL5" NA NA
"1325" "LRP11" NA "FASTKD1" NA NA
"1326" "ARAP3" NA "IDH1" NA NA
"1327" "MRPS14" NA "DIRC2" NA NA
"1328" "CENPL" NA "COX17" NA NA
"1329" "GORAB" NA "SEMA7A" NA NA
"1330" "SNX19" NA "UBL7" NA NA
"1331" "MSANTD2" NA "HERC5" NA NA
"1332" "ENY2" NA "AP1AR" NA NA
"1333" "MASTL" NA "COPS4" NA NA
"1334" "KIAA1217" NA "LARP1B" NA NA
"1335" "EPC1" NA "BMP2K" NA NA
"1336" "WBP4" NA "ANXA3" NA NA
"1337" "FAM53C" NA "GSTCD" NA NA
"1338" "PAIP2" NA "ENPEP" NA NA
"1339" "KDM3B" NA "EGF" NA NA
"1340" "EGR1" NA "YARS2" NA NA
"1341" "SERP1" NA "FAM60A" NA NA
"1342" "PLS1" NA "METTL20" NA NA
"1343" "TMPO" NA "NDUFA9" NA NA
"1344" "ARL1" NA "CLSTN3" NA NA
"1345" "GLT8D2" NA "NEDD1" NA NA
"1346" "NFYB" NA "TDG" NA NA
"1347" "APAF1" NA "MMAB" NA NA
"1348" "DUSP4" NA "GIT2" NA NA
"1349" "CLU" NA "MAP3K12" NA NA
"1350" "UBIAD1" NA "TMBIM6" NA NA
"1351" "ZNF706" NA "ZNF740" NA NA
"1352" "AKAP1" NA "VPS33A" NA NA
"1353" "NCAPH" NA "RAB20" NA NA
"1354" "KIAA0922" NA "TMX1" NA NA
"1355" "MND1" NA "WDR89" NA NA
"1356" "PLBD1" NA "STON2" NA NA
"1357" "KIF18A" NA "WDR20" NA NA
"1358" "MAPK8IP1" NA "MFAP1" NA NA
"1359" "CRY2" NA "TCF12" NA NA
"1360" "DEPDC7" NA "ZSCAN29" NA NA
"1361" "CAT" NA "GTF2A2" NA NA
"1362" "PILRB" NA "SCAPER" NA NA
"1363" "ZMYM2" NA "WDR61" NA NA
"1364" "TBC1D15" NA "NEIL1" NA NA
"1365" "BAI2" NA "BBS4" NA NA
"1366" "FABP3" NA "LINS" NA NA
"1367" "KHDRBS1" NA "FANCI" NA NA
"1368" "TMEM39B" NA "DET1" NA NA
"1369" "ZNF639" NA "ST8SIA2" NA NA
"1370" "PIK3CA" NA "MCTP2" NA NA
"1371" "PDS5A" NA "SH3GL3" NA NA
"1372" "CPXM2" NA "SEC11A" NA NA
"1373" "ZSCAN20" NA "GLYR1" NA NA
"1374" "GTDC1" NA "PARN" NA NA
"1375" "POLK" NA "FTO" NA NA
"1376" "UBL3" NA "UQCRC2" NA NA
"1377" "SERAC1" NA "ARHGAP17" NA NA
"1378" "ANXA11" NA "DHX38" NA NA
"1379" "FAM213A" NA "CDH11" NA NA
"1380" "TRMT13" NA "TLDC1" NA NA
"1381" "ZNF644" NA "RHOT2" NA NA
"1382" "CCDC18" NA "ZSCAN32" NA NA
"1383" "RPAP2" NA "DEF8" NA NA
"1384" "ZMIZ2" NA "TCF25" NA NA
"1385" "KLHL7" NA "GAS8" NA NA
"1386" "HNRNPA2B1" NA "MED9" NA NA
"1387" "WIPF3" NA "KSR1" NA NA
"1388" "POLM" NA "TOM1L1" NA NA
"1389" "CLTA" NA "ARSG" NA NA
"1390" "PLAU" NA "G6PC3" NA NA
"1391" "ECD" NA "BCAS3" NA NA
"1392" "P4HA1" NA "C18orf8" NA NA
"1393" "RBM19" NA "NPC1" NA NA
"1394" "CIT" NA "WRAP53" NA NA
"1395" "HVCN1" NA "SAT2" NA NA
"1396" "DDX54" NA "ARHGDIA" NA NA
"1397" "ACOT9" NA "TMC6" NA NA
"1398" "C19orf43" NA "FN3KRP" NA NA
"1399" "SPRYD7" NA "NT5C3B" NA NA
"1400" "ATP7B" NA "GRB7" NA NA
"1401" "CENPK" NA "PFKL" NA NA
"1402" "ATF1" NA "DUS3L" NA NA
"1403" "ORMDL2" NA "DPP9" NA NA
"1404" "NR4A1" NA "COL6A1" NA NA
"1405" "IKZF4" NA "IFNAR1" NA NA
"1406" "SMUG1" NA "COL6A2" NA NA
"1407" "KBTBD4" NA "TMEM50B" NA NA
"1408" "SARDH" NA "DOPEY2" NA NA
"1409" "AMD1" NA "AKT1" NA NA
"1410" "TTC21B" NA "SAE1" NA NA
"1411" "ADCK4" NA "ZNF787" NA NA
"1412" "AGO2" NA "CARM1" NA NA
"1413" "MXD4" NA "EVI5L" NA NA
"1414" "CHPF" NA "SIGLEC10" NA NA
"1415" "SLC12A4" NA "ZNF473" NA NA
"1416" "ENKD1" NA "FAM71E1" NA NA
"1417" "FAM209A" NA "RPL13A" NA NA
"1418" "TTPAL" NA "NOSIP" NA NA
"1419" "ARHGAP40" NA "ARHGEF19" NA NA
"1420" "NCOA3" NA "EFHD2" NA NA
"1421" "PIGT" NA "PEX14" NA NA
"1422" "NCOA5" NA "PGD" NA NA
"1423" "ATP5E" NA "CNKSR1" NA NA
"1424" "ARFGEF2" NA "MAP3K6" NA NA
"1425" "ZNFX1" NA "ITGB3BP" NA NA
"1426" "STAU1" NA "SERBP1" NA NA
"1427" "SNAI1" NA "PRKACB" NA NA
"1428" "MOCS3" NA "RPS8" NA NA
"1429" "PMEPA1" NA "PSMA5" NA NA
"1430" "FASTKD3" NA "GPR161" NA NA
"1431" "CHST8" NA "ATP1B1" NA NA
"1432" "MCEE" NA "TIPRL" NA NA
"1433" "MPHOSPH10" NA "NME7" NA NA
"1434" "ZNF45" NA "CREG1" NA NA
"1435" "USP9X" NA "RFWD2" NA NA
"1436" "TRERF1" NA "CRABP2" NA NA
"1437" "WRNIP1" NA "HMCN1" NA NA
"1438" "ABCC10" NA "LYPLAL1" NA NA
"1439" "PEX6" NA "CGN" NA NA
"1440" "PRICKLE4" NA "DYRK3" NA NA
"1441" "MED20" NA "EIF2D" NA NA
"1442" "MEA1" NA "VASH2" NA NA
"1443" "SOX4" NA "ADAM15" NA NA
"1444" "SSR1" NA "RAB13" NA NA
"1445" "RPP40" NA "TPM3" NA NA
"1446" "NUP153" NA "ILF2" NA NA
"1447" "CNOT1" NA "C1orf131" NA NA
"1448" "C16orf70" NA "GALNT2" NA NA
"1449" "DOK4" NA "ACP1" NA NA
"1450" "EFNB2" NA "DEGS1" NA NA
"1451" "UPF3B" NA "GUK1" NA NA
"1452" "FAM193A" NA "CNIH3" NA NA
"1453" "SOX9" NA "PARP1" NA NA
"1454" "HS3ST3B1" NA "LBR" NA NA
"1455" "GGA3" NA "EPHX1" NA NA
"1456" "NT5C" NA "ETNK2" NA NA
"1457" "DDX31" NA "ARL8A" NA NA
"1458" "PPP1R12C" NA "RHOB" NA NA
"1459" "SLC2A4RG" NA "HNRNPLL" NA NA
"1460" "ALKBH7" NA "RPS27A" NA NA
"1461" "THOC2" NA "WDPCP" NA NA
"1462" "MED1" NA "ETAA1" NA NA
"1463" "SH2D3A" NA "SNRPG" NA NA
"1464" "FOXA2" NA "CIAO1" NA NA
"1465" "GZF1" NA "SFXN5" NA NA
"1466" "NAPB" NA "ST6GAL2" NA NA
"1467" "CENPB" NA "THNSL2" NA NA
"1468" "PSMF1" NA "PHOSPHO2" NA NA
"1469" "DTD1" NA "CCDC150" NA NA
"1470" "STK35" NA "METTL21A" NA NA
"1471" "ZNF133" NA "ANKMY1" NA NA
"1472" "MKKS" NA "FANCD2" NA NA
"1473" "BFSP1" NA "FAM134A" NA NA
"1474" "DSTN" NA "RQCD1" NA NA
"1475" "TBC1D20" NA "DYNC1LI1" NA NA
"1476" "HNRNPR" NA "ITGA9" NA NA
